ENTIDAD_RES,MUNICIPIO_RES,codigo_Postal,coordenada_lateral,coordenada_longitudinal,altitud
7,71,30624,20.672801,-101.348117,1715
7,72,29754,20.609266,-101.415955,1718
7,73,29740,20.68618,-101.299899,1740
7,74,29500,20.769966,-101.341766,1758
7,75,30358,20.716829,-101.297302,1751
7,76,29816,20.619631,-101.483145,1709
7,77,29904,20.376517,-101.063975,1716
7,78,29290,20.03538,-100.719326,1880
7,79,29125,20.104639,-100.784636,1852
7,80,30985,19.958944,-100.925453,1829
7,81,29823,20.144041,-100.762688,1858
7,82,29896,21.115698,-101.741724,1974
7,83,30396,21.086682,-101.521503,1882
7,84,29583,21.106407,-101.530663,1938
7,85,29780,21.196706,-101.661236,1955
7,86,29150,21.168079,-101.416432,2304
7,87,30843,21.038433,-101.768775,1764
7,88,29547,20.96234,-101.595508,1783
7,89,30785,21.121972,-101.6832,1800
7,90,29670,21.513018,-101.435414,2195
7,91,29735,21.537081,-101.377642,2223
7,92,29605,20.412399,-101.745798,1775
7,93,29480,20.394882,-101.930048,1682
7,94,29410,20.400429,-101.706478,1720
7,96,29916,20.393109,-101.692126,1702
7,97,30506,20.28499,-101.634829,1719
7,98,30330,20.342255,-101.898842,1679
7,99,30160,20.390622,-101.921191,1680
7,100,29920,20.378279,-102.057884,1669
7,101,29096,21.029579,-101.878099,1764
7,102,30875,20.901889,-101.517863,1773
7,103,30695,20.914499,-101.632728,1764
7,104,30115,20.813806,-101.5992,1773
7,105,30885,20.777933,-101.497289,1733
7,106,30217,20.832866,-101.616337,1779
7,107,30535,20.881572,-101.663444,1759
7,108,30478,20.81919,-101.493176,1743
7,109,29930,20.871215,-101.517117,1751
7,110,29405,20.701153,-101.667466,1709
7,111,29367,20.781994,-101.536074,1743
7,112,29794,20.757836,-101.519284,1749
7,113,29878,20.58096,-101.242984,1712
7,114,29956,20.593036,-101.126259,1730
7,115,30183,20.636566,-101.178124,1714
7,116,29959,20.577938,-101.15211,1719
7,117,30383,20.638449,-101.126646,1753
7,118,29829,20.643363,-101.221362,1720
7,119,29868,20.573413,-101.257508,1715
8,1,32818,20.54812,-101.150246,1713
8,2,32930,20.556628,-101.299578,1703
8,3,33920,20.554238,-101.180811,1719
8,4,31650,20.489986,-101.217548,1722
8,5,31830,20.571052,-101.291007,1711
8,6,31670,20.576178,-101.267094,1711
8,7,33564,20.568681,-101.199915,1710
8,8,33408,20.891474,-100.675595,2045
8,9,33211,20.93578,-100.738376,1925
8,10,31885,20.90534,-100.918429,1919
8,11,33601,21.092087,-100.595206,1998
8,12,33295,20.93916,-100.733726,1971
8,13,31850,20.866561,-100.57623,2081
8,14,33992,20.957719,-100.892677,1895
8,15,32850,20.814295,-100.666701,2234
8,16,33671,20.951118,-100.792522,1852
8,17,31600,21.041053,-100.64281,1999
8,18,33251,20.921578,-100.571836,2112
8,19,31054,20.904013,-100.713381,2028
8,20,33364,21.018681,-101.858518,1752
8,21,33086,21.000822,-100.38572,2093
8,22,33142,21.458739,-100.614459,2233
8,23,31870,21.412871,-100.650671,2113
8,24,33277,21.290796,-100.493042,2056
8,25,31902,21.436421,-100.620054,2174
8,26,33263,21.187181,-100.582793,1982
8,27,33195,20.94445,-101.426216,1779
8,28,32777,20.160788,-101.168852,1809
8,29,33483,20.391322,-101.18143,1726
8,31,31699,20.560528,-100.495392,1813
8,32,33860,20.521524,-100.813573,1759
8,33,33544,20.466389,-100.805278,1752
8,34,31920,20.529589,-100.762553,1759
8,35,31845,20.563338,-100.782584,1761
8,36,33970,20.727518,-101.95279,1726
8,37,32423,16.861867,-99.886558,19
8,38,32950,17.038467,-99.200778,405
8,39,33954,16.73296,-98.601091,359
8,40,31940,16.786371,-98.502238,421
8,42,32992,16.655067,-98.627095,166
8,43,31991,17.126111,-100.455,3
8,44,33960,17.144087,-100.432755,11
8,45,33136,17.13637,-100.468668,5
8,46,33451,18.457887,-99.405342,1262
8,47,33350,18.555761,-99.427873,1090
8,48,31976,18.548318,-99.422036,1041
8,49,33170,18.180104,-101.75258,609
8,50,31700,18.316395,-101.734611,308
8,51,33336,18.235866,-99.66119,607
8,52,32884,16.608759,-98.978624,41
8,53,32792,17.950474,-98.913547,1100
8,54,31643,18.034151,-99.041724,882
8,55,33123,17.009002,-100.089367,13
8,56,33538,18.057641,-101.102336,879
8,57,33160,18.356354,-100.88715,330
8,58,33693,17.884941,-100.817634,1002
8,59,33500,18.056106,-100.778349,515
8,60,33593,18.317708,-100.675222,242
8,61,33159,17.933291,-100.754789,805
8,62,33637,16.471986,-98.416745,51
8,63,31985,18.465244,-100.578513,262
8,64,33550,18.546685,-100.626961,300
8,65,33433,18.494666,-100.651523,368
8,66,33310,17.657179,-99.168693,1362
8,67,33663,17.505089,-99.094928,1855
9,2,2080,17.594232,-99.177682,1406
9,3,4480,17.551649,-99.501063,1257
9,4,5320,17.486166,-99.45515,1140
9,5,7140,18.159555,-100.496057,270
9,6,8400,16.723881,-99.123787,49
9,7,9020,18.418485,-100.072052,1175
9,8,10926,17.789448,-99.978318,1540
9,9,12500,17.802174,-98.565287,881
9,10,1500,18.344549,-99.538368,730
9,11,13540,17.661035,-101.600997,18
9,12,14470,17.650458,-101.548176,9
9,13,16090,17.660802,-99.677341,1124
9,14,3300,17.244628,-98.671108,1532
9,15,6018,17.741925,-99.329341,1093
9,16,11530,17.472358,-99.371294,996
9,17,15970,17.746091,-98.738358,1550
10,1,34405,17.778332,-98.741256,1331
10,2,34513,16.685089,-98.404421,323
10,3,34473,18.512364,-99.887018,1783
10,4,35830,17.378454,-101.057052,37
10,5,34204,18.362273,-100.668241,243
10,6,35987,18.129021,-100.320033,301
10,7,35073,18.601587,-99.543545,1580
10,8,34705,18.557382,-99.604595,1752
10,9,35440,17.221216,-100.640229,16
10,10,35336,17.282353,-101.045491,19
10,11,35546,17.226347,-100.610522,49
10,12,35169,17.222609,-100.632378,23
10,13,35230,18.349324,-99.859738,1612
10,14,34987,17.546949,-98.582138,1057
10,15,35737,16.792424,-98.242467,368
10,16,34873,18.481934,-101.362136,200
10,17,35353,18.403402,-101.232261,506
10,18,35694,18.447872,-100.979228,217
10,19,34667,18.364321,-101.090301,388
10,20,34773,18.449917,-101.445448,197
10,20,34783,18.410091,-101.369988,341
10,21,34743,18.304383,-101.261714,631
10,22,34803,18.489687,-101.097744,212
10,23,34966,17.653197,-99.525937,1041
10,24,35775,16.583314,-98.817852,2
10,25,35465,17.192967,-98.45528,2009
10,26,34697,19.896969,-99.227054,2299
10,27,35945,20.90138,-98.451668,294
10,28,34482,20.926546,-98.563036,1154
10,29,35756,20.493072,-99.05954,2022
10,30,35594,20.03547,-98.309738,2242
10,31,35893,20.032678,-98.265267,2284
10,32,34637,20.125798,-98.178749,2288
10,33,34905,19.657008,-98.547416,2494
10,34,34588,21.139212,-98.420595,141
10,35,35635,20.484868,-99.218774,1682
10,36,35283,20.283665,-98.347755,2178
10,37,34563,20.140491,-98.67153,2718
10,38,34894,21.087576,-99.073298,1601
10,39,34427,20.22938,-99.213798,2000
11,1,36987,21.170944,-98.607815,175
11,2,38735,20.12236,-98.737001,2378
11,3,37895,20.039193,-98.357006,2180
11,4,38523,19.9675,-98.517222,2634
11,5,38197,19.772706,-98.581903,2448
11,6,37947,19.785674,-98.553662,2510
11,7,38046,19.905217,-99.341814,2139
11,8,36480,19.841089,-98.981584,2266
11,9,38217,20.091614,-99.221593,2062
11,10,38594,20.057222,-99.317222,2080
11,11,38495,20.080605,-98.368073,2148
11,12,36968,20.890503,-98.383551,300
11,13,37966,20.645181,-98.653627,1979
11,14,37806,20.020409,-98.78939,2327
11,15,36094,20.738069,-99.383113,1764
11,16,36993,20.007579,-105.456441,20
11,17,36615,20.623333,-103.245556,1653
11,18,38474,20.533866,-102.688503,1540
11,19,38554,20.543614,-102.789218,1548
11,20,37150,19.554444,-103.372222,1129
11,21,38860,21.983056,-103.596667,1764
11,22,37647,21.609425,-102.60243,1885
11,23,36948,20.228611,-103.565278,1356
11,24,36894,20.24939,-104.591691,1519
11,25,36423,20.817778,-103.451667,1620
11,26,36214,20.720962,-103.388988,1577
11,27,36878,20.6225,-103.064167,1530
11,28,38900,20.538679,-102.547462,1599
11,29,37875,19.771389,-104.365278,920
11,30,37613,19.821464,-104.335296,951
11,31,36360,20.528056,-102.328333,1604
11,32,37987,20.129167,-104.347778,1360
11,33,37913,20.290278,-102.541944,1529
11,34,37954,20.40585,-103.541996,1625
11,35,38245,20.318333,-105.323889,600
11,36,38974,20.487292,-105.442809,0
11,37,36285,19.708611,-103.464167,1519
11,38,38795,20.4075,-103.769444,1307
11,39,38710,22.117222,-103.264722,1666
11,40,37976,22.104086,-103.252695,1697
11,41,38983,19.978611,-103.257222,2121
11,42,38407,19.449722,-104.356944,589
11,43,37923,20.9275,-103.023889,1786
11,44,38280,20.914775,-103.127443,1797
11,45,37933,20.700556,-103.975,1320
11,46,38954,20.293333,-103.189722,1539
12,1,39710,20.4475,-102.135,1789
12,2,41135,21.524444,-102.233056,1818
12,3,40730,21.638763,-102.256934,1919
12,4,41690,21.574722,-102.142778,1871
12,6,40544,21.656304,-102.019961,1999
12,7,40515,21.440922,-102.350371,1805
12,8,41030,21.415058,-102.256988,1833
12,9,41570,21.544147,-102.137423,1881
12,10,41441,20.702804,-104.089199,1700
12,11,40930,20.767222,-104.078333,1389
12,12,39200,19.8075,-104.215556,881
12,13,41906,19.854596,-104.241359,919
12,14,40966,20.921601,-104.61492,485
12,15,40335,20.869942,-104.522461,570
12,16,40866,20.676389,-103.342222,1536
12,17,40580,20.995997,-104.114659,1142
12,18,41870,22.267408,-103.187433,1784
12,19,41060,22.362222,-103.211667,1847
12,20,41498,22.322836,-103.269287,1929
12,21,40989,22.628611,-103.894167,1753
12,22,40712,19.352924,-104.899706,19
12,23,41965,19.405657,-104.674821,337
12,24,41086,19.449315,-105.026572,32
12,25,41860,19.521073,-104.768861,261
12,26,40574,19.676358,-104.976714,220
12,27,40647,19.485,-104.643333,280
12,28,41115,20.349136,-103.192966,1598
12,29,39010,20.421372,-103.185806,1523
12,30,41810,20.7936,-103.192347,1634
12,31,40489,21.090503,-102.535427,1870
12,32,39140,21.168611,-102.461111,1779
12,33,41205,21.135107,-102.397061,1777
12,34,40152,21.122391,-102.500384,1798
12,35,40030,20.2945,-102.709717,1545
12,36,41996,20.708984,-102.135323,2249
12,37,40451,20.600864,-102.232166,2043
12,38,40893,20.551065,-102.058888,1922
12,39,39952,19.243167,-102.665742,440
12,40,39165,19.429577,-102.575884,897
12,41,41527,19.331911,-103.062385,880
12,42,41191,19.299003,-102.877406,540
12,43,41644,19.370556,-103.019722,759
12,44,39249,19.371574,-103.091108,1441
12,45,41027,20.284444,-103.425278,1537
12,46,41705,20.567457,-103.142228,1470
12,47,40474,20.083856,-104.096249,1225
12,48,40849,21.390783,-101.965791,1890
12,49,40382,21.321111,-101.973333,1877
12,50,40664,21.379079,-101.947454,1880
12,51,39261,21.625833,-101.966667,2056
12,52,41620,21.330466,-101.922397,1872
12,53,39966,21.314102,-101.712339,2142
12,54,40784,21.388399,-101.953104,1882
12,55,40225,21.356389,-101.929167,1876
12,56,39270,21.503808,-101.752511,1937
12,57,40900,21.68,-101.939722,2030
12,58,40422,20.906389,-103.976111,1390
12,59,40160,20.924521,-104.090221,1398
12,60,40374,19.601222,-102.946294,1020
12,61,39172,19.496248,-102.904657,1115
12,62,41769,19.496169,-102.595241,826
12,63,41540,19.591803,-102.850029,1119
12,64,40690,19.5875,-102.908333,944
